subject,block_type,bin5,n,response_rate,hit_rate,fa_rate,accuracy
4182026002,full_sentence,first5,50,0.46,0.48148148148148145,0.43478260869565216,0.52
4182026002,full_sentence,mid5,50,0.36,0.3333333333333333,0.3793103448275862,0.5
4182026002,full_sentence,last5,49,0.5306122448979592,0.5555555555555556,0.5,0.5306122448979592
4182026002,imagined_sentence,first5,50,0.56,0.5652173913043478,0.5555555555555556,0.5
4182026002,imagined_sentence,mid5,50,0.46,0.4482758620689655,0.47619047619047616,0.48
4182026002,imagined_sentence,last5,49,0.5306122448979592,0.4090909090909091,0.6296296296296297,0.3877551020408163
4192026001,full_sentence,first5,50,0.5,0.6666666666666666,0.30434782608695654,0.68
4192026001,full_sentence,mid5,50,0.66,0.6538461538461539,0.6666666666666666,0.5
4192026001,full_sentence,last5,49,0.5306122448979592,0.5909090909090909,0.48148148148148145,0.5510204081632653
4192026001,imagined_sentence,first5,50,0.56,0.5,0.6,0.44
4192026001,imagined_sentence,mid5,50,0.64,0.6923076923076923,0.5833333333333334,0.56
4192026001,imagined_sentence,last5,49,0.6326530612244898,0.6551724137931034,0.6,0.5510204081632653
4192026002,full_sentence,first5,50,0.56,0.48148148148148145,0.6521739130434783,0.42
4192026002,full_sentence,mid5,50,0.56,0.5454545454545454,0.5714285714285714,0.48
4192026002,full_sentence,last5,49,0.5714285714285714,0.5769230769230769,0.5652173913043478,0.5102040816326531
4192026002,imagined_sentence,first5,50,0.64,0.7333333333333333,0.5,0.64
4192026002,imagined_sentence,mid5,50,0.58,0.625,0.5588235294117647,0.5
4192026002,imagined_sentence,last5,49,0.5510204081632653,0.5517241379310345,0.55,0.5102040816326531
