site,subject,block_type,model,n_trials,cv_auc,cv_auc_std
Oberlin,3202026002,full_sentence,single_envelope_corr,149,0.6413461538461538,0.050725048118077994
Oberlin,3202026002,full_sentence,single_log_spectrum_corr,149,0.5532967032967033,0.1027621265017372
Oberlin,3202026002,full_sentence,single_mfcc_cosine,149,0.5450549450549451,0.05284017684808629
Oberlin,3202026002,full_sentence,all_metrics,149,0.6375,0.05782241020961489
Oberlin,3202026002,imagined_sentence,true_label_baseline,149,0.5365101809954751,0.0638374235607496
Oberlin,3202026002,imagined_sentence,trial_order_only,149,0.5897058823529412,0.06777103909860686
Oberlin,3202026002,imagined_sentence,single_pearson_raw,149,0.5819570135746607,0.09934168612706107
Oberlin,3202026002,imagined_sentence,single_lagged_xcorr_max,149,0.614027149321267,0.1590521874394456
Oberlin,3202026002,imagined_sentence,single_envelope_corr,149,0.5687782805429864,0.07794897477881937
Oberlin,3202026002,imagined_sentence,single_log_spectrum_corr,149,0.5659502262443439,0.07785205617478495
Oberlin,3202026002,imagined_sentence,single_mfcc_cosine,149,0.5746606334841629,0.05745002804743486
Oberlin,3202026002,imagined_sentence,all_metrics,149,0.5825226244343891,0.16017560290792457
Oberlin,4142026001,full_sentence,true_label_baseline,149,0.4538543328017012,0.110296468430581
Oberlin,4142026001,full_sentence,trial_order_only,149,0.5766214779372675,0.16536955316501403
Oberlin,4142026001,full_sentence,single_pearson_raw,149,0.5134901648059543,0.12144546287840934
Oberlin,4142026001,full_sentence,single_lagged_xcorr_max,149,0.5381357433989014,0.1316135321746939
Oberlin,4142026001,full_sentence,single_envelope_corr,149,0.5559011164274322,0.16261999643103595
Oberlin,4142026001,full_sentence,single_log_spectrum_corr,149,0.532314371788056,0.1424230731143383
Oberlin,4142026001,full_sentence,single_mfcc_cosine,149,0.5560074428495481,0.15106740248499254
Oberlin,4142026001,full_sentence,all_metrics,149,0.48223905723905724,0.14996433235392417
Oberlin,4142026001,imagined_sentence,true_label_baseline,149,0.4584126984126984,0.10596632094254885
Oberlin,4142026001,imagined_sentence,trial_order_only,149,0.39428042328042323,0.021384332150984498
Oberlin,4142026001,imagined_sentence,single_pearson_raw,149,0.4277566137566137,0.07359660438829115
Oberlin,4142026001,imagined_sentence,single_lagged_xcorr_max,149,0.5211481481481482,0.1401506422173205
Oberlin,4142026001,imagined_sentence,single_envelope_corr,149,0.43480423280423286,0.04889116099074424
Oberlin,4142026001,imagined_sentence,single_log_spectrum_corr,149,0.39261904761904765,0.01189565789457531
Oberlin,4142026001,imagined_sentence,single_mfcc_cosine,149,0.4077354497354498,0.05827719070597144
